model,Qini AUC,Uplift@30%,top30_low,top30_high
X-Learner (XGBoost),0.0075974806791381695,0.012810382160445805,0.0043895300775952835,0.021231234243296326
T-Learner,0.0036444215238272005,0.0118531658509764,0.0035408157119865124,0.020165515989966284
S-Learner (LRS),0.0,0.0034173463180957736,-0.0034475777872418545,0.010282270423433403
Uplift Random Forest,-0.0021728531759121535,0.012412336231559656,0.005014594898660949,0.019810077564458364
